,Syngas Production,Methanol Manufacture,Steam Cracker,Hydrodealkylation (THD),Disproportionation (TDP),Metathesis,Dehydrogenation,Refinery,Urea Synthesis,SOHIO Process,Caprolactam Manufacture,Cumene Production,Hock's Process,PE Manufacture,PVC Manufacture,VC Production,PP Manufacture,Styrene production,EG Production,PTA Production,PET Production,Propylene Oxide Production,Acetic acid production,Formaldehyde production,Cyclohexane Production,Adipic Acid Production,Catalytic Reformer
Methanol ,0,38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.478316327,-8.880665625,0,0,0
Ethylene ,0,0,177.4285714,0,0,-1.677018634,0,0,0,0,0,0,0,-89.14285714,0,-21,0,-3.856885714,-21.49714286,0,0,0,0,0,0,0,0
Propylene ,0,0,57.87670803,0,0,5.142857143,5.451428571,0,0,-6.788571429,0,-3.808296,0,0,0,0,-48.96,0,0,0,0,-8.16,0,0,0,0,0
Toluene ,0,0,11.20756859,-6.847826087,-7.736367406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.26785825
Benzene ,0,0,17.66041112,5.653846154,2.884615385,0,0,0,0,0,0,-7.974636923,0,0,0,0,0,-11.56541538,0,0,0,0,0,0,-8.543525147,0,12.45720785
Xylene ,0,0,5.094349361,0,4.851752022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.54339623,0,0,0,0,0,0,51.54483798
Butene ,0,0,0,0,0,-3.913043478,0,3.913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propane ,0,0,0,0,0,0,-6.140290909,6.140290909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syngas,56.07673193,-7.6645522,0,0,0,0,0,0,-44.62588235,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.786297376,0,0,0,0
Urea ,0,0,0,0,0,0,0,0,43.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrylonitrile,0,0,0,0,0,0,0,0,0,4.890566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclohexane ,0,0,0,0,0,0,0,0,0,0,-6.059816657,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4666738,-2.406857143,0
Caprolactam ,0,0,0,0,0,0,0,0,0,0,4.373439292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumene ,0,0,0,0,0,0,0,0,0,0,0,8.2278,-8.2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenol ,0,0,0,0,0,0,0,0,0,0,0,0,2.7426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone ,0,0,0,0,0,0,0,0,0,0,0,0,5.485181716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyethylene ,0,0,0,0,0,0,0,0,0,0,0,0,0,85.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyvinyl chloride ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6407767,0,0,0,0,0,0,0,0,0,0,0,0
Vinyl chloride Monomer ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.2,19.2,0,0,0,0,0,0,0,0,0,0,0
Polypropylene ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
Styrene ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67692308,0,0,0,0,0,0,0,0,0
Ethylene glycol ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.18064516,0,-9.660387097,0,0,0,0,0,0
Terephthalic Acid (PTA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.26506024,-36.92992771,0,0,0,0,0,0
Polyethylene Terephthalate (PET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.93128333,0,0,0,0,0,0
Propylene Oxide ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.951724138,0,0,0,0,0
Butadiene ,0,0,19.78635961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetic Acid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0
Formaldehyde ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.346,0,0,0
Adipic Acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923287671,0
Gasoline Additives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.1198411
